Tick: 0, energy: -14.5753, penergy: -15.8251, kenergy: 1.24977
Tick: 1, energy: -14.5753, penergy: -15.8252, kenergy: 1.24984
Tick: 2, energy: -14.5753, penergy: -15.8252, kenergy: 1.24992
Tick: 3, energy: -14.5753, penergy: -15.8253, kenergy: 1.24999
Tick: 4, energy: -14.5753, penergy: -15.8254, kenergy: 1.25007
Tick: 5, energy: -14.5753, penergy: -15.8255, kenergy: 1.25015
Tick: 6, energy: -14.5753, penergy: -15.8256, kenergy: 1.25024
Tick: 7, energy: -14.5753, penergy: -15.8257, kenergy: 1.25032
Tick: 8, energy: -14.5753, penergy: -15.8258, kenergy: 1.25041
Tick: 9, energy: -14.5753, penergy: -15.8258, kenergy: 1.2505
Tick: 10, energy: -14.5753, penergy: -15.8259, kenergy: 1.2506
Tick: 11, energy: -14.5753, penergy: -15.826, kenergy: 1.25069
Tick: 12, energy: -14.5753, penergy: -15.8261, kenergy: 1.25079
Tick: 13, energy: -14.5753, penergy: -15.8262, kenergy: 1.25089
Tick: 14, energy: -14.5753, penergy: -15.8263, kenergy: 1.251
Tick: 15, energy: -14.5753, penergy: -15.8265, kenergy: 1.25111
Tick: 16, energy: -14.5754, penergy: -15.8266, kenergy: 1.25122
Tick: 17, energy: -14.5754, penergy: -15.8267, kenergy: 1.25133
Tick: 18, energy: -14.5754, penergy: -15.8268, kenergy: 1.25144
Tick: 19, energy: -14.5754, penergy: -15.8269, kenergy: 1.25156
Tick: 20, energy: -14.5754, penergy: -15.827, kenergy: 1.25168
Tick: 21, energy: -14.5754, penergy: -15.8272, kenergy: 1.2518
Tick: 22, energy: -14.5754, penergy: -15.8273, kenergy: 1.25193
Tick: 23, energy: -14.5754, penergy: -15.8274, kenergy: 1.25206
Tick: 24, energy: -14.5754, penergy: -15.8275, kenergy: 1.25219
Tick: 25, energy: -14.5754, penergy: -15.8277, kenergy: 1.25232
Tick: 26, energy: -14.5754, penergy: -15.8278, kenergy: 1.25246
